NUMBER,STREET,CITY,POSTCODE,country
1,Butthollenring,Aesch,4147,CH
3,Butthollenring,Aesch,4147,CH
31,Butthollenring,Aesch,4147,CH
5,Butthollenring,Aesch,4147,CH
10,Bärenfelsweg,Aesch,4147,CH
11,Bärenfelsweg,Aesch,4147,CH
11a,Bärenfelsweg,Aesch,4147,CH
12,Bärenfelsweg,Aesch,4147,CH
13,Bärenfelsweg,Aesch,4147,CH
13a,Bärenfelsweg,Aesch,4147,CH
14,Bärenfelsweg,Aesch,4147,CH
15,Bärenfelsweg,Aesch,4147,CH
15a,Bärenfelsweg,Aesch,4147,CH
17,Bärenfelsweg,Aesch,4147,CH
17a,Bärenfelsweg,Aesch,4147,CH
2,Bärenfelsweg,Aesch,4147,CH
21,Bärenfelsweg,Aesch,4147,CH
3,Bärenfelsweg,Aesch,4147,CH
4,Bärenfelsweg,Aesch,4147,CH
5,Bärenfelsweg,Aesch,4147,CH
6,Bärenfelsweg,Aesch,4147,CH
6a,Bärenfelsweg,Aesch,4147,CH
7,Bärenfelsweg,Aesch,4147,CH
8,Bärenfelsweg,Aesch,4147,CH
9,Bärenfelsweg,Aesch,4147,CH
9a,Bärenfelsweg,Aesch,4147,CH
1,Büntengarten,Aesch,4147,CH
10,Büntengarten,Aesch,4147,CH
10a,Büntengarten,Aesch,4147,CH
11,Büntengarten,Aesch,4147,CH
12,Büntengarten,Aesch,4147,CH
12a,Büntengarten,Aesch,4147,CH
13,Büntengarten,Aesch,4147,CH
14,Büntengarten,Aesch,4147,CH
15,Büntengarten,Aesch,4147,CH
16,Büntengarten,Aesch,4147,CH
17,Büntengarten,Aesch,4147,CH
17a,Büntengarten,Aesch,4147,CH
17c,Büntengarten,Aesch,4147,CH
17d,Büntengarten,Aesch,4147,CH
17e,Büntengarten,Aesch,4147,CH
17f,Büntengarten,Aesch,4147,CH
17g,Büntengarten,Aesch,4147,CH
17h,Büntengarten,Aesch,4147,CH
18,Büntengarten,Aesch,4147,CH
19,Büntengarten,Aesch,4147,CH
2,Büntengarten,Aesch,4147,CH
20,Büntengarten,Aesch,4147,CH
21,Büntengarten,Aesch,4147,CH
21_01,Büntengarten,Aesch,4147,CH
22,Büntengarten,Aesch,4147,CH
23,Büntengarten,Aesch,4147,CH
24,Büntengarten,Aesch,4147,CH
25,Büntengarten,Aesch,4147,CH
26,Büntengarten,Aesch,4147,CH
27,Büntengarten,Aesch,4147,CH
28,Büntengarten,Aesch,4147,CH
29,Büntengarten,Aesch,4147,CH
29a,Büntengarten,Aesch,4147,CH
29b,Büntengarten,Aesch,4147,CH
2a,Büntengarten,Aesch,4147,CH
3,Büntengarten,Aesch,4147,CH
30,Büntengarten,Aesch,4147,CH
31,Büntengarten,Aesch,4147,CH
31_01,Büntengarten,Aesch,4147,CH
32,Büntengarten,Aesch,4147,CH
33,Büntengarten,Aesch,4147,CH
34,Büntengarten,Aesch,4147,CH
4,Büntengarten,Aesch,4147,CH
4a,Büntengarten,Aesch,4147,CH
5,Büntengarten,Aesch,4147,CH
6,Büntengarten,Aesch,4147,CH
6a,Büntengarten,Aesch,4147,CH
7,Büntengarten,Aesch,4147,CH
8,Büntengarten,Aesch,4147,CH
8a,Büntengarten,Aesch,4147,CH
